Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.800255875,0.1049698,0.287296509,-0.106088372,0.323747874
1.810264875,0.098351775,0.277452137,-0.123787894,0.31933713
1.820244875,0.020326237,0.230902453,-0.043012118,0.235752288
1.830253875,-0.0823937,0.206287429,0.088716295,0.239194077
1.840263875,-0.194273886,0.450385879,0.150629538,0.51310724
1.850242875,-0.088013606,0.303385123,0.253848097,0.405250273
1.860252875,-0.092801744,0.1794376,0.185440936,0.274223188
1.870262875,-0.105695147,0.219629606,0.135046123,0.278650468
1.880272875,-0.129382949,0.193656859,0.019532039,0.233718692
1.890251875,-0.137097034,0.20109978,0.01400759,0.243788701
1.900261875,-0.126699808,0.207747479,0.015916706,0.24385487
1.910270875,-0.120068042,0.233148369,0.022591302,0.26322018
1.920280875,-0.165868551,0.345136582,-0.067406702,0.388812679
1.930259875,0.02417926,0.401113147,0.065970626,0.407220476
1.940269875,0.067075603,0.25876502,0.18301668,0.323965396
1.950279875,0.146156564,0.201727186,0.267720616,0.365691026
1.960258875,0.146472606,0.323334653,0.280489765,0.452409141
1.970268875,0.107143356,0.31109877,0.247639523,0.411810001
1.980278875,0.003319172,0.257179255,0.216201968,0.335999222
1.990288875,-0.051326567,0.184418843,0.247494512,0.312886976
2.000267875,-0.114094088,0.168210361,0.297968262,0.360689994
2.010277875,-0.184337859,0.12938368,0.316548375,0.388488682
2.020286875,-0.238635542,0.096053966,0.270557685,0.373329274
2.030296875,-0.303566679,0.102957773,0.194810514,0.375105543
2.040275875,-0.271306567,0.110276733,0.011672212,0.293094612
2.050285875,-0.162037455,0.19165945,-0.048255901,0.255574087
2.060295875,-0.117051025,0.255563085,-0.013070281,0.281396988
2.070274875,-0.059831342,0.239018388,-0.06216175,0.254113484
2.080284875,-0.048064259,0.205582255,-0.020015604,0.212072773
2.090294875,-0.077536126,0.120885336,-0.054409511,0.153575748
2.100303875,-0.123990062,0.073411793,-0.107280035,0.179643627
2.110283875,-0.100413869,0.084444319,-0.145452998,0.195883544
2.120292875,-0.057899568,0.102736748,-0.176869503,0.212579445
2.130302875,-0.078539362,0.126336111,-0.233855882,0.277160274
2.140312875,-0.114918253,0.099400912,-0.232752512,0.277957691
2.150291875,-0.125935869,0.030579184,-0.246803956,0.278759973
2.160301875,-0.248585895,0.06280202,-0.248007313,0.35671651
2.170311875,-0.295028794,0.174665687,-0.277536922,0.441108642
2.180290875,-0.312713917,0.156577325,-0.228305705,0.417648114
2.190300875,-0.308444865,0.092867818,-0.172350774,0.36533198
2.200309875,-0.281627414,0.073319991,-0.171219338,0.337647573
2.210319875,-0.273139304,0.049498435,-0.188535283,0.335560318
2.220299875,-0.282446975,0.033449582,-0.165866212,0.329251831
2.230308875,-0.246671809,0.02900219,-0.083374279,0.261991181
2.240318875,-0.225855137,0.045514727,-0.040212471,0.233878549
2.250328875,-0.204138431,0.043790967,0.000922691,0.208784576
2.260307875,-0.170370834,0.047578209,0.08653119,0.196920172
2.270317875,-0.201480726,0.089887492,0.097214053,0.241090888
2.280327875,-0.159709533,0.19886205,0.0977672,0.273151378
2.290306875,-0.138968216,0.104621306,0.090179268,0.195933875
2.300316875,-0.137862581,0.04992879,0.017628186,0.147681171
2.310325875,-0.136207965,0.054231171,-0.01858596,0.147780471
2.320335875,-0.134599981,0.058677394,-0.028348471,0.149545402
2.330314875,-0.1378006,0.104317836,-0.093370094,0.196441316
2.340324875,-0.132223234,0.19133376,-0.091811226,0.250041781
2.350334875,-0.141211135,0.162972425,0.063805402,0.224881581
2.360344875,-0.114665068,0.081467502,0.15613703,0.210151859
2.370323875,-0.108012399,0.062371665,0.156683745,0.200266569
2.380333875,-0.090123573,0.140865272,0.15690477,0.229312865
2.390342875,-0.140711344,0.1633408,0.107924983,0.241096871
2.400322875,-0.155819892,0.157247416,0.049418328,0.226823191
2.410331875,-0.10623331,0.153789958,0.066671707,0.198448945
2.420341875,-0.124507686,0.160382693,0.107576489,0.229777008
2.430351875,-0.128004833,0.160551678,0.122058288,0.238872988
2.440330875,-0.139189387,0.179104308,0.134057944,0.263483531
2.450340875,-0.20660084,0.237960627,0.195324485,0.370757092
2.460350875,-0.16349195,0.251633756,0.193199022,0.356896381
2.470360875,-0.118196202,0.181270117,0.208804071,0.300713049
2.480339875,-0.079395394,0.150072298,0.124351566,0.210448652
2.490349875,-0.059102486,0.107273603,0.080748294,0.146700432
2.500358875,-0.08020136,0.12415393,0.060819229,0.159829394
2.510338875,-0.064780791,0.163902133,-0.035904243,0.179859875
2.520347875,0.008231052,0.212661479,-0.151247588,0.261090957
2.530357875,0.012104613,0.223643135,-0.193117161,0.295731316
2.540363375,-0.066425247,0.21353213,-0.153892869,0.271461413
2.550342375,-0.152509125,0.198984842,-0.036679584,0.25337599
2.560352375,-0.210385085,0.14650959,0.090402632,0.271844771
2.570362375,-0.253125527,0.083646174,0.151775007,0.306765167
2.580371375,-0.259891194,-0.027318776,0.131472305,0.292531563
2.590351375,-0.292502431,-0.033807431,0.05631278,0.299786164
2.600360375,-0.239171001,-0.029667603,-0.054855654,0.247168115
2.610370375,-0.182455567,-0.024114502,-0.181089438,0.258195522
2.620349375,-0.164417711,0.009984705,-0.312069408,0.352874189
2.630359375,-0.133185832,0.016707249,-0.406055798,0.42766682
2.640369375,-0.146855599,0.02787894,-0.370148631,0.399191447
2.650379375,-0.179994986,0.074786473,-0.35228071,0.402607638
2.660358375,-0.184894514,0.060288302,-0.303029612,0.360066114
2.670368375,-0.161312839,0.034473429,-0.244700713,0.295107926
2.680378375,-0.178330576,-0.027921039,-0.300156875,0.350250665
2.690387375,-0.167255803,-0.062006798,-0.402953265,0.440670717
2.700367375,-0.18589373,-0.067650531,-0.480793154,0.519899154
2.710376375,-0.14951272,-0.022266782,-0.588232234,0.607344238
2.720386375,-0.09732822,-0.015049564,-0.680906509,0.687991966
2.730365375,-0.103358015,0.036279634,-0.704647958,0.713111377
2.740375375,-0.120467845,0.084691072,-0.663235638,0.679386923
2.750385375,-0.087640553,0.059190779,-0.585054857,0.594536458
2.760395375,-0.094703405,0.01096119,-0.489373358,0.498573131
2.770374375,-0.109545539,-0.078189552,-0.504317672,0.521967572
2.780384375,-0.076236875,-0.126381719,-0.584967148,0.603300062
2.790393375,-0.049415989,-0.164745301,-0.721293812,0.741517172
2.800403375,-0.014446862,-0.144520367,-0.817547752,0.830348828
2.810382375,-0.001582841,-0.079181825,-0.802582389,0.806480475
2.820392375,-0.026568871,-0.042595212,-0.701590449,0.703384259
2.830402375,-0.068198707,-0.011462297,-0.568304338,0.572496523
